ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
35;2,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
36;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
36;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
36;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,4;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir;Formulaire
37;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
37;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
37;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
37;2,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
37;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
37;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,9;11,5;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
