ECH;Famille;Genre;Espèce;Sexe;Espece_Conc;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur Trottoir;date observation;Type de pavés;Situation des nids;remarque;more_1 mm;btw_1mm_500µm;btw_500-200µm;btw_200-100µm;btw_100-50µm;less_50µm
G3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;pavés grès;Trottoir;Formulaire;2,82370898;14,39837192;35,91961333;26,86339354;17,42559145;2,569320784
G4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;pavés grès;Trottoir;Formulaire;1,934846989;3,079960513;17,65054294;24,04738401;49,45705824;3,830207305
G7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;pavés grès;Pas de maison_Trottoir;Formulaire;2,20812779;4,956542166;35,58844257;35,79985906;15,85623679;5,590791637
G8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;dalles béton;Trottoir;Formulaire;4,324546952;7,94892916;27,10049423;31,79571664;26,35914333;2,471169687
G9;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);G. Noël;J. Bonnet;G9;Ixelles;Avenue George Bergmann, 109;50,8083533;4,3889264;35;11;2;28.V.2020;dalles béton;Trottoir;Formulaire;1,972504483;9,025702331;33,13409046;36,34190078;15,28192867;4,243873282
V1;Halictidae;Lasioglossum;sexstrigatum;female;Lasioglossum_sexstrigatum;(Schenck 1868);G. Noël;G. Noël;V1;Bruxelles;Rue Tenbosch, 14-16;50,823697;4,3663288;60;1;3;05.V.2020;pavés grès;Trottoir;Formulaire;2,928229665;6,794258373;30,79425837;37,81818182;19,11961722;2,545454545
V10;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;dalles béton;Trottoir;Formulaire;2,088167053;10,32482599;77,80355762;8,488012374;0,966744006;0,328692962
V11;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);V. Van Keymeulen;J. Bonnet;V11;Ixelles;Rue Wery, 50;50,8307188;4,37595;50;2,5;2;28.V.2020;pavés grès;Trottoir;Formulaire;1,732150401;2,830587241;34,55851289;37,09336713;17,02577102;6,759611322
V12;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);V. Van Keymeulen;J. Bonnet;V12;Woluwé-Saint-Lambert;Rue Klakkedelle, 67;50,8483149;4,4443424;7;1,866666667;2,5;28.V.2020;dalles béton;Trottoir;Formulaire;2,458158996;14,958159;54,96861925;20,86820084;3,765690377;2,981171548
V13;Halictidae;Lasioglossum;fulvicorne;female;Lasioglossum_fulvicorne;(Kirby 1802);V. Van Keymeulen;G. Noël;V13;Woluwé-Saint-Lambert;Rue Verheyweghen, toute la rue;50,8466;4,3528;500;3,333333333;3;28.V.2020;dalles béton;Trottoir;Formulaire;2,317613865;11,02378073;43,02700524;30,43127771;11,02378073;2,176541717
V17;Halictidae;Lasioglossum;sexstrigatum;female;Lasioglossum_sexstrigatum;(Schenck 1868);V. Van Keymeulen;G. Noël;V17;Watermael-Boitsfort;Avenue Coloniale, 24-26;50,8036385;4,4049056;250;2,525252525;3;03.VI.2020;dalles béton;Trottoir;Formulaire;1,267075827;4,494159572;23,97545041;49,51494754;19,75846367;0,98990299
V18;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V18;Watermael-Boitsfort;Avenue Coloniale, 34;50,8040587;4,405511;70;1,029411765;6;03.VI.2020;dalles béton;cour-Trottoir;Formulaire;1,631791131;3,014014206;24,80322519;43,17527356;26,20464581;1,171050106
V2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;pavés grès;Trottoir;Formulaire;3,536231884;8,057971014;58,99516908;28,83091787;0,483091787;0,096618357
V22;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);V. Van Keymeulen;J. Bonnet;V22;Uccle;Rue de l'équateur 19-23;50,7952416;4,3627867;500;9,433962264;2;16.VI.2020;dalles béton;Trottoir_cour;Formulaire;3,370786517;11,73756019;41,57303371;34,06902087;6,119582665;3,130016051
V23;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V23;Uccle;Avenue latérale 165;50,7956279;4,3652847;85;17;2;16.VI.2020;pavés béton;Trottoir;Formulaire;0,64159292;5,243362832;66,52654867;25,64159292;1,438053097;0,508849558
V25;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V25;Forest;Avenue Besme 74;50,8205518;4,3372623;65;2,063492063;3,5;16.VI.2020;dalles béton abimées et pavés grès;Trottoir;Formulaire;2,073771885;5,77936427;26,85704572;46,08193099;15,89325174;3,31463539
V27;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;(Linneaus 1758);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;pavés grès;Trottoir;Formulaire;5,124919923;12,10762332;28,82767457;23,3504164;20,62780269;9,961563101
V28;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;(Linneaus 1758);V. Van Keymeulen;G. Noël;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;pavés grès;Trottoir;Formulaire;2,71012635;14,26478667;25,54477202;30,58047977;22,76139901;4,138436184
V3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;pavés grès;Trottoir;Formulaire;1,542177629;4,868078781;58,69565217;28,13080639;5,444072835;1,319212189
V31;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;dalles béton;Trottoir;Formulaire;0,193673338;2,324080052;23,41295459;56,70324941;16,74198408;0,624058532
V4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V4;Ixelles;Rue des champs elysees, 84;50,8288933;4,3692854;10;2,5;2;08.V.2020;pavés grès;Trottoir ;Formulaire;4,530744337;5,106076951;28,65875584;48,11218986;11,7583603;1,833872708
V5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V5;Uccle;Avenue du lycée français 5, 5a;50,7893569;4,3444865;200;3,2;2,5;21.V.2020;pavés béton carrés;Trottoir_pas d'escalier;Formulaire;2,595188483;12,72968365;70,29740481;12,54025384;1,837469218;1,193407842
V8;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;dalles béton;Trottoir;Formulaire;1,149635036;4,96350365;25,87591241;33,15693431;33,64963504;1,204379562
